match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
18/01/2025,D1,Heidenheim,St Pauli,0,2,NG,No,0,1,Away Win,4,4,8,Draw,1,2,Away Win
18/01/2025,D1,Holstein Kiel,Hoffenheim,1,3,GG,Yes,0,2,Away Win,4,3,7,Home Win,2,1,Home Win
18/01/2025,D1,Stuttgart,Freiburg,4,0,NG,Yes,3,0,Home Win,4,1,5,Home Win,5,3,Home Win
18/01/2025,D1,Leverkusen,M'gladbach,3,1,GG,Yes,1,0,Home Win,7,6,13,Home Win,0,2,Away Win
19/01/2025,D1,Union Berlin,Mainz,2,1,GG,Yes,2,1,Home Win,2,2,4,Draw,2,2,Draw
19/01/2025,D1,Werder Bremen,Augsburg,0,2,NG,No,0,2,Away Win,6,2,8,Home Win,1,2,Away Win
24/01/2025,D1,Wolfsburg,Holstein Kiel,2,2,GG,Yes,0,1,Away Win,10,3,13,Home Win,2,4,Away Win
25/01/2025,D1,Augsburg,Heidenheim,2,1,GG,Yes,1,0,Home Win,6,4,10,Home Win,1,0,Home Win
25/01/2025,D1,Dortmund,Werder Bremen,2,2,GG,Yes,1,0,Home Win,5,5,10,Draw,1,4,Away Win
25/01/2025,D1,Freiburg,Bayern Munich,1,2,GG,Yes,0,1,Away Win,2,4,6,Away Win,4,2,Home Win
25/01/2025,D1,Mainz,Stuttgart,2,0,NG,No,1,0,Home Win,9,2,11,Home Win,4,3,Home Win
25/01/2025,D1,RB Leipzig,Leverkusen,2,2,GG,Yes,1,2,Away Win,7,3,10,Home Win,0,0,Draw
25/01/2025,D1,M'gladbach,Bochum,3,0,NG,Yes,1,0,Home Win,8,7,15,Home Win,1,3,Away Win
26/01/2025,D1,Hoffenheim,Ein Frankfurt,2,2,GG,Yes,0,1,Away Win,9,3,12,Home Win,3,0,Home Win
26/01/2025,D1,St Pauli,Union Berlin,3,0,NG,Yes,1,0,Home Win,5,7,12,Away Win,0,3,Away Win
31/01/2025,D1,Werder Bremen,Mainz,1,0,NG,No,1,0,Home Win,3,8,11,Away Win,8,4,Home Win
01/02/2025,D1,Bayern Munich,Holstein Kiel,4,3,GG,Yes,2,0,Home Win,12,1,13,Home Win,1,1,Draw
01/02/2025,D1,Bochum,Freiburg,0,1,NG,No,0,1,Away Win,9,7,16,Home Win,3,2,Home Win
01/02/2025,D1,Heidenheim,Dortmund,1,2,GG,Yes,0,1,Away Win,4,5,9,Away Win,0,0,Draw
01/02/2025,D1,St Pauli,Augsburg,1,1,GG,No,1,0,Home Win,3,1,4,Home Win,1,3,Away Win
01/02/2025,D1,Stuttgart,M'gladbach,1,2,GG,Yes,0,1,Away Win,2,0,2,Home Win,2,2,Draw
01/02/2025,D1,Union Berlin,RB Leipzig,0,0,NG,No,0,0,Draw,4,5,9,Away Win,3,2,Home Win
02/02/2025,D1,Ein Frankfurt,Wolfsburg,1,1,GG,No,0,0,Draw,9,1,10,Home Win,1,3,Away Win
02/02/2025,D1,Leverkusen,Hoffenheim,3,1,GG,Yes,2,0,Home Win,3,3,6,Draw,4,3,Home Win
07/02/2025,D1,Bayern Munich,Werder Bremen,3,0,NG,Yes,0,0,Draw,5,2,7,Home Win,1,3,Away Win
08/02/2025,D1,Dortmund,Stuttgart,1,2,GG,Yes,0,0,Draw,9,4,13,Home Win,5,2,Home Win
08/02/2025,D1,Freiburg,Heidenheim,1,0,NG,No,1,0,Home Win,6,3,9,Home Win,3,1,Home Win
08/02/2025,D1,Hoffenheim,Union Berlin,0,4,NG,Yes,0,1,Away Win,8,4,12,Home Win,2,1,Home Win
