Round Number,Date,Home Team,Away Team,Time
27,08/03/2026 20:00,Villarreal,Elche,20:00:00
27,08/03/2026 20:00,Levante,Girona,20:00:00
27,08/03/2026 20:00,Osasuna,Mallorca,20:00:00
27,08/03/2026 20:00,Sevilla,Vallecano,20:00:00
28,15/03/2026 20:00,Alaves,Villarreal,20:00:00
28,15/03/2026 20:00,Ath Madrid,Getafe,20:00:00
28,15/03/2026 20:00,Barcelona,Sevilla,20:00:00
28,15/03/2026 20:00,Betis,Celta,20:00:00
28,15/03/2026 20:00,Real Oviedo,Valencia,20:00:00
28,15/03/2026 20:00,Girona,Ath Bilbao,20:00:00
28,15/03/2026 20:00,Real Madrid,Elche,20:00:00
28,15/03/2026 20:00,Mallorca,Espanol,20:00:00
28,15/03/2026 20:00,Vallecano,Levante,20:00:00
28,15/03/2026 20:00,Sociedad,Osasuna,20:00:00
29,22/03/2026 20:00,Ath Bilbao,Betis,20:00:00
29,22/03/2026 20:00,Barcelona,Vallecano,20:00:00
29,22/03/2026 20:00,Elche,Mallorca,20:00:00
29,22/03/2026 20:00,Espanol,Getafe,20:00:00
29,22/03/2026 20:00,Levante,Real Oviedo,20:00:00
29,22/03/2026 20:00,Sevilla,Valencia,20:00:00
29,22/03/2026 20:00,Celta,Alaves,20:00:00
29,22/03/2026 20:00,Real Madrid,Ath Madrid,20:00:00
29,22/03/2026 20:00,Osasuna,Girona,20:00:00
29,22/03/2026 20:00,Villarreal,Sociedad,20:00:00
30,05/04/2026 19:00,Alaves,Osasuna,19:00:00
30,05/04/2026 19:00,Ath Madrid,Barcelona,19:00:00
30,05/04/2026 19:00,Betis,Espanol,19:00:00
30,05/04/2026 19:00,Girona,Villarreal,19:00:00
30,05/04/2026 19:00,Mallorca,Real Madrid,19:00:00
30,05/04/2026 19:00,Real Oviedo,Sevilla,19:00:00
30,05/04/2026 19:00,Getafe,Ath Bilbao,19:00:00
30,05/04/2026 19:00,Valencia,Celta,19:00:00
30,05/04/2026 19:00,Vallecano,Elche,19:00:00
30,05/04/2026 19:00,Sociedad,Levante,19:00:00
31,12/04/2026 19:00,Ath Bilbao,Villarreal,19:00:00
31,12/04/2026 19:00,Barcelona,Espanol,19:00:00
31,12/04/2026 19:00,Celta,Real Oviedo,19:00:00
31,12/04/2026 19:00,Elche,Valencia,19:00:00
31,12/04/2026 19:00,Mallorca,Vallecano,19:00:00
31,12/04/2026 19:00,Sociedad,Alaves,19:00:00
31,12/04/2026 19:00,Sevilla,Ath Madrid,19:00:00
31,12/04/2026 19:00,Osasuna,Betis,19:00:00
31,12/04/2026 19:00,Levante,Getafe,19:00:00
31,12/04/2026 19:00,Real Madrid,Girona,19:00:00
32,19/04/2026 19:00,Alaves,Mallorca,19:00:00
32,19/04/2026 19:00,Betis,Real Madrid,19:00:00
32,19/04/2026 19:00,Espanol,Levante,19:00:00
32,19/04/2026 19:00,Osasuna,Sevilla,19:00:00
32,19/04/2026 19:00,Vallecano,Sociedad,19:00:00
32,19/04/2026 19:00,Ath Madrid,Ath Bilbao,19:00:00
32,19/04/2026 19:00,Getafe,Barcelona,19:00:00
32,19/04/2026 19:00,Villarreal,Celta,19:00:00
32,19/04/2026 19:00,Real Oviedo,Elche,19:00:00
32,19/04/2026 19:00,Valencia,Girona,19:00:00
33,22/04/2026 19:00,Ath Bilbao,Osasuna,19:00:00
33,22/04/2026 19:00,Barcelona,Celta,19:00:00
33,22/04/2026 19:00,Levante,Sevilla,19:00:00
33,22/04/2026 19:00,Mallorca,Valencia,19:00:00
33,22/04/2026 19:00,Real Oviedo,Villarreal,19:00:00
33,22/04/2026 19:00,Real Madrid,Alaves,19:00:00
33,22/04/2026 19:00,Elche,Ath Madrid,19:00:00
33,22/04/2026 19:00,Girona,Betis,19:00:00
33,22/04/2026 19:00,Vallecano,Espanol,19:00:00
33,22/04/2026 19:00,Sociedad,Getafe,19:00:00
34,03/05/2026 19:00,Alaves,Ath Bilbao,19:00:00
34,03/05/2026 19:00,Betis,Real Oviedo,19:00:00
34,03/05/2026 19:00,Celta,Elche,19:00:00
34,03/05/2026 19:00,Espanol,Real Madrid,19:00:00
34,03/05/2026 19:00,Getafe,Vallecano,19:00:00
34,03/05/2026 19:00,Girona,Mallorca,19:00:00
34,03/05/2026 19:00,Valencia,Ath Madrid,19:00:00
34,03/05/2026 19:00,Osasuna,Barcelona,19:00:00
34,03/05/2026 19:00,Villarreal,Levante,19:00:00
34,03/05/2026 19:00,Sevilla,Sociedad,19:00:00
35,10/05/2026 19:00,Ath Bilbao,Valencia,19:00:00
35,10/05/2026 19:00,Ath Madrid,Celta,19:00:00
35,10/05/2026 19:00,Barcelona,Real Madrid,19:00:00
35,10/05/2026 19:00,Levante,Osasuna,19:00:00
35,10/05/2026 19:00,Mallorca,Villarreal,19:00:00
35,10/05/2026 19:00,Elche,Alaves,19:00:00
35,10/05/2026 19:00,Sociedad,Betis,19:00:00
35,10/05/2026 19:00,Sevilla,Espanol,19:00:00
35,10/05/2026 19:00,Real Oviedo,Getafe,19:00:00
35,10/05/2026 19:00,Vallecano,Girona,19:00:00
36,13/05/2026 19:00,Alaves,Barcelona,19:00:00
36,13/05/2026 19:00,Betis,Elche,19:00:00
36,13/05/2026 19:00,Celta,Levante,19:00:00
36,13/05/2026 19:00,Getafe,Mallorca,19:00:00
36,13/05/2026 19:00,Girona,Sociedad,19:00:00
36,13/05/2026 19:00,Espanol,Ath Bilbao,19:00:00
36,13/05/2026 19:00,Osasuna,Ath Madrid,19:00:00
36,13/05/2026 19:00,Valencia,Vallecano,19:00:00
36,13/05/2026 19:00,Villarreal,Sevilla,19:00:00
36,13/05/2026 19:00,Real Madrid,Real Oviedo,19:00:00
37,17/05/2026 19:00,Ath Bilbao,Celta,19:00:00
37,17/05/2026 19:00,Ath Madrid,Girona,19:00:00
37,17/05/2026 19:00,Barcelona,Betis,19:00:00
37,17/05/2026 19:00,Elche,Getafe,19:00:00
37,17/05/2026 19:00,Levante,Mallorca,19:00:00
37,17/05/2026 19:00,Vallecano,Villarreal,19:00:00
37,17/05/2026 19:00,Sociedad,Valencia,19:00:00
37,17/05/2026 19:00,Real Oviedo,Alaves,19:00:00
37,17/05/2026 19:00,Osasuna,Espanol,19:00:00
37,17/05/2026 19:00,Sevilla,Real Madrid,19:00:00
38,24/05/2026 19:00,Alaves,Vallecano,19:00:00
38,24/05/2026 19:00,Betis,Levante,19:00:00
38,24/05/2026 19:00,Celta,Sevilla,19:00:00
38,24/05/2026 19:00,Espanol,Sociedad,19:00:00
38,24/05/2026 19:00,Getafe,Osasuna,19:00:00
38,24/05/2026 19:00,Mallorca,Real Oviedo,19:00:00
38,24/05/2026 19:00,Real Madrid,Ath Bilbao,19:00:00
38,24/05/2026 19:00,Villarreal,Ath Madrid,19:00:00
38,24/05/2026 19:00,Valencia,Barcelona,19:00:00
38,24/05/2026 19:00,Girona,Elche,19:00:00
