Round_Number,Date,Home Team,Away_Team,Time
31,25/04/2026 13:30,Dortmund,Freiburg,13:30:00
32,02/05/2026 13:30,Hoffenheim,Stuttgart,13:30:00
32,02/05/2026 13:30,St. Pauli,Mainz,13:30:00
32,02/05/2026 13:30,Union Berlin,FC Koln,13:30:00
32,02/05/2026 13:30,M'gladbach,Dortmund,13:30:00
32,02/05/2026 13:30,Werder Bremen,Augsburg,13:30:00
32,02/05/2026 13:30,Freiburg,Wolfsburg,13:30:00
32,02/05/2026 13:30,Ein Frankfurt,Hamburg,13:30:00
32,02/05/2026 13:30,Leverkusen,RB Leipzig,13:30:00
32,02/05/2026 13:30,Bayern Munich,Heidenheim,13:30:00
33,09/05/2026 13:30,Hamburg,Freiburg,13:30:00
33,09/05/2026 13:30,FC Koln,Heidenheim,13:30:00
33,09/05/2026 13:30,Hoffenheim,Werder Bremen,13:30:00
33,09/05/2026 13:30,Augsburg,M'gladbach,13:30:00
33,09/05/2026 13:30,Wolfsburg,Bayern Munich,13:30:00
33,09/05/2026 13:30,Stuttgart,Leverkusen,13:30:00
33,09/05/2026 13:30,RB Leipzig,St. Pauli,13:30:00
33,09/05/2026 13:30,Mainz,Union Berlin,13:30:00
33,09/05/2026 13:30,Dortmund,Ein Frankfurt,13:30:00
34,16/05/2026 13:30,Heidenheim,Mainz,13:30:00
34,16/05/2026 13:30,St. Pauli,Wolfsburg,13:30:00
34,16/05/2026 13:30,Union Berlin,Augsburg,13:30:00
34,16/05/2026 13:30,M'gladbach,Hoffenheim,13:30:00
34,16/05/2026 13:30,Werder Bremen,Dortmund,13:30:00
34,16/05/2026 13:30,Freiburg,RB Leipzig,13:30:00
34,16/05/2026 13:30,Ein Frankfurt,Stuttgart,13:30:00
34,16/05/2026 13:30,Leverkusen,Hamburg,13:30:00
34,16/05/2026 13:30,Bayern Munich,FC Koln,13:30:00
