match_date,league,HomeTeam,AwayTeam,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
14/01/2023,N1,Ajax,Twente,0,0,NG,No,0,0,Draw,3,5,8,Away Win,1,4,Away Win
14/01/2023,N1,Sparta Rotterdam,Excelsior,1,0,NG,No,0,0,Draw,6,3,9,Home Win,1,1,Draw
15/01/2023,N1,Vitesse,Nijmegen,0,0,NG,No,0,0,Draw,11,4,15,Home Win,1,4,Away Win
15/01/2023,N1,For Sittard,PSV Eindhoven,2,2,GG,Yes,1,0,Home Win,1,10,11,Away Win,0,2,Away Win
15/01/2023,N1,Go Ahead Eagles,Utrecht,2,2,GG,Yes,1,2,Away Win,5,7,12,Away Win,3,0,Home Win
15/01/2023,N1,FC Emmen,Cambuur,0,0,NG,No,0,0,Draw,6,7,13,Away Win,0,1,Away Win
15/01/2023,N1,Groningen,Feyenoord,0,3,NG,Yes,0,2,Away Win,2,13,15,Away Win,1,0,Home Win
20/01/2023,N1,Excelsior,Volendam,2,0,NG,No,1,0,Home Win,7,4,11,Home Win,1,1,Draw
21/01/2023,N1,Nijmegen,FC Emmen,3,1,GG,Yes,2,1,Home Win,9,5,14,Home Win,0,1,Away Win
21/01/2023,N1,Cambuur,Sparta Rotterdam,0,3,NG,Yes,0,2,Away Win,6,2,8,Home Win,1,0,Home Win
21/01/2023,N1,PSV Eindhoven,Vitesse,1,0,NG,No,0,0,Draw,3,4,7,Away Win,0,1,Away Win
22/01/2023,N1,Heerenveen,Groningen,3,1,GG,Yes,1,1,Draw,7,5,12,Home Win,0,3,Away Win
22/01/2023,N1,Feyenoord,Ajax,1,1,GG,No,1,0,Home Win,7,6,13,Home Win,4,4,Draw
22/01/2023,N1,Twente,Utrecht,2,0,NG,No,1,0,Home Win,4,4,8,Draw,1,1,Draw
22/01/2023,N1,AZ Alkmaar,For Sittard,3,1,GG,Yes,2,1,Home Win,6,2,8,Home Win,1,0,Home Win
24/01/2023,N1,FC Emmen,PSV Eindhoven,1,0,NG,No,1,0,Home Win,5,6,11,Away Win,3,4,Away Win
24/01/2023,N1,Sparta Rotterdam,Waalwijk,0,0,NG,No,0,0,Draw,2,3,5,Away Win,0,0,Draw
25/01/2023,N1,Go Ahead Eagles,AZ Alkmaar,1,4,GG,Yes,0,1,Away Win,6,7,13,Away Win,1,1,Draw
25/01/2023,N1,Vitesse,Twente,2,2,GG,Yes,1,1,Draw,6,8,14,Away Win,2,0,Home Win
25/01/2023,N1,For Sittard,Heerenveen,2,0,NG,No,0,0,Draw,7,8,15,Away Win,1,1,Draw
25/01/2023,N1,Feyenoord,Nijmegen,2,0,NG,No,2,0,Home Win,12,4,16,Home Win,1,2,Away Win
25/01/2023,N1,Utrecht,Excelsior,1,0,NG,No,1,0,Home Win,7,3,10,Home Win,1,2,Away Win
26/01/2023,N1,Groningen,Cambuur,0,1,NG,No,0,0,Draw,9,1,10,Home Win,3,0,Home Win
26/01/2023,N1,Ajax,Volendam,1,1,GG,No,0,0,Draw,13,0,13,Home Win,0,1,Away Win
28/01/2023,N1,PSV Eindhoven,Go Ahead Eagles,2,0,NG,No,1,0,Home Win,9,2,11,Home Win,2,2,Draw
28/01/2023,N1,Waalwijk,FC Emmen,2,0,NG,No,2,0,Home Win,3,6,9,Away Win,5,1,Home Win
28/01/2023,N1,Heerenveen,Vitesse,1,3,GG,Yes,1,2,Away Win,6,6,12,Draw,1,0,Home Win
28/01/2023,N1,Nijmegen,Sparta Rotterdam,1,1,GG,No,0,0,Draw,11,3,14,Home Win,1,2,Away Win
28/01/2023,N1,AZ Alkmaar,Utrecht,5,5,GG,Yes,3,3,Draw,3,7,10,Away Win,0,1,Away Win
29/01/2023,N1,Twente,Feyenoord,1,1,GG,No,0,1,Away Win,2,6,8,Away Win,2,2,Draw
29/01/2023,N1,Excelsior,Ajax,1,4,GG,Yes,1,2,Away Win,6,7,13,Away Win,1,1,Draw
29/01/2023,N1,Volendam,Groningen,3,2,GG,Yes,1,0,Home Win,5,3,8,Home Win,0,1,Away Win
29/01/2023,N1,Cambuur,For Sittard,1,2,GG,Yes,1,0,Home Win,6,4,10,Home Win,2,4,Away Win
01/02/2023,N1,Waalwijk,Go Ahead Eagles,3,1,GG,Yes,1,1,Draw,1,4,5,Away Win,2,2,Draw
03/02/2023,N1,For Sittard,Sparta Rotterdam,0,0,NG,No,0,0,Draw,3,3,6,Draw,0,0,Draw
04/02/2023,N1,Volendam,AZ Alkmaar,1,1,GG,No,0,0,Draw,2,6,8,Away Win,1,3,Away Win
04/02/2023,N1,FC Emmen,Vitesse,2,2,GG,Yes,1,2,Away Win,6,4,10,Home Win,1,4,Away Win
04/02/2023,N1,Utrecht,Heerenveen,1,0,NG,No,0,0,Draw,4,3,7,Home Win,1,2,Away Win
04/02/2023,N1,Excelsior,Waalwijk,0,0,NG,No,0,0,Draw,10,0,10,Home Win,1,2,Away Win
