Round Number,Date,Home Team,Away Team,Time
31,23/04/2026 02:00,Twente,Nijmegen,02:00:00
31,23/04/2026 02:00,Heracles,Volendam,02:00:00
31,23/04/2026 02:00,Heerenveen,For Sittard,02:00:00
31,23/04/2026 02:00,PSV Eindhoven,Zwolle,02:00:00
31,23/04/2026 02:00,Excelsior,Utrecht,02:00:00
31,23/04/2026 02:00,Telstar,Sparta Rotterdam,02:00:00
32,02/05/2026 02:00,For Sittard,Feyenoord,02:00:00
32,02/05/2026 02:00,Ajax,PSV Eindhoven,02:00:00
32,02/05/2026 02:00,Groningen,Excelsior,02:00:00
32,02/05/2026 02:00,Sparta Rotterdam,Go Ahead Eagles,02:00:00
32,02/05/2026 02:00,Utrecht,NAC Breda,02:00:00
32,02/05/2026 02:00,Nijmegen,Telstar,02:00:00
32,02/05/2026 02:00,Zwolle,Heracles,02:00:00
32,02/05/2026 02:00,AZ Alkmaar,Twente,02:00:00
32,02/05/2026 02:00,Volendam,Heerenveen,02:00:00
33,10/05/2026 16:45,Groningen,Nijmegen,16:45:00
33,10/05/2026 16:45,For Sittard,Zwolle,16:45:00
33,10/05/2026 16:45,Go Ahead Eagles,PSV Eindhoven,16:45:00
33,10/05/2026 16:45,Ajax,Utrecht,16:45:00
33,10/05/2026 16:45,Twente,Sparta Rotterdam,16:45:00
33,10/05/2026 16:45,NAC Breda,Heerenveen,16:45:00
33,10/05/2026 16:45,Telstar,Heracles,16:45:00
33,10/05/2026 16:45,Feyenoord,AZ Alkmaar,16:45:00
33,10/05/2026 16:45,Excelsior,Volendam,16:45:00
34,17/05/2026 14:30,Heracles,Groningen,14:30:00
34,17/05/2026 14:30,Sparta Rotterdam,Excelsior,14:30:00
34,17/05/2026 14:30,Nijmegen,Go Ahead Eagles,14:30:00
34,17/05/2026 14:30,Volendam,Telstar,14:30:00
34,17/05/2026 14:30,Zwolle,Feyenoord,14:30:00
34,17/05/2026 14:30,Utrecht,For Sittard,14:30:00
34,17/05/2026 14:30,Heerenveen,Ajax,14:30:00
34,17/05/2026 14:30,PSV Eindhoven,Twente,14:30:00
34,17/05/2026 14:30,AZ Alkmaar,NAC Breda,14:30:00
