match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
27/08/2021,SP1,Mallorca,Espanol,1,0,NG,No,1,0,Home Win,3,2,5,Home Win,4,3,Home Win
27/08/2021,SP1,Valencia,Alaves,3,0,NG,Yes,2,0,Home Win,4,4,8,Draw,1,4,Away Win
28/08/2021,SP1,Celta,Ath Bilbao,0,1,NG,No,0,1,Away Win,5,4,9,Home Win,2,1,Home Win
28/08/2021,SP1,Elche,Sevilla,1,1,GG,No,1,1,Draw,5,3,8,Home Win,2,0,Home Win
28/08/2021,SP1,Sociedad,Levante,1,0,NG,No,1,0,Home Win,2,2,4,Draw,1,1,Draw
28/08/2021,SP1,Betis,Real Madrid,0,1,NG,No,0,0,Draw,3,7,10,Away Win,5,3,Home Win
29/08/2021,SP1,Barcelona,Getafe,2,1,GG,Yes,2,1,Home Win,3,2,5,Home Win,3,1,Home Win
29/08/2021,SP1,Cadiz,Osasuna,2,3,GG,Yes,1,0,Home Win,4,11,15,Away Win,4,0,Home Win
29/08/2021,SP1,Vallecano,Granada,4,0,NG,Yes,3,0,Home Win,5,6,11,Away Win,1,4,Away Win
29/08/2021,SP1,Ath Madrid,Villarreal,2,2,GG,Yes,0,0,Draw,16,0,16,Home Win,4,2,Home Win
11/09/2021,SP1,Levante,Vallecano,1,1,GG,No,1,0,Home Win,2,5,7,Away Win,3,4,Away Win
11/09/2021,SP1,Ath Bilbao,Mallorca,2,0,NG,No,0,0,Draw,7,2,9,Home Win,1,2,Away Win
12/09/2021,SP1,Espanol,Ath Madrid,1,2,GG,Yes,1,0,Home Win,6,3,9,Home Win,1,4,Away Win
12/09/2021,SP1,Osasuna,Valencia,1,4,GG,Yes,1,1,Draw,4,4,8,Draw,4,2,Home Win
12/09/2021,SP1,Cadiz,Sociedad,0,2,NG,No,0,0,Draw,2,8,10,Away Win,4,0,Home Win
12/09/2021,SP1,Real Madrid,Celta,5,2,GG,Yes,1,2,Away Win,7,3,10,Home Win,2,3,Away Win
13/09/2021,SP1,Getafe,Elche,0,1,NG,No,0,0,Draw,8,2,10,Home Win,2,3,Away Win
13/09/2021,SP1,Granada,Betis,1,2,GG,Yes,0,1,Away Win,6,8,14,Away Win,1,2,Away Win
17/09/2021,SP1,Celta,Cadiz,1,2,GG,Yes,0,2,Away Win,7,1,8,Home Win,3,3,Draw
18/09/2021,SP1,Vallecano,Getafe,3,0,NG,Yes,1,0,Home Win,5,3,8,Home Win,6,7,Away Win
18/09/2021,SP1,Ath Madrid,Ath Bilbao,0,0,NG,No,0,0,Draw,5,5,10,Draw,6,2,Home Win
18/09/2021,SP1,Elche,Levante,1,1,GG,No,1,0,Home Win,4,7,11,Away Win,2,2,Draw
18/09/2021,SP1,Alaves,Osasuna,0,2,NG,No,0,2,Away Win,2,8,10,Away Win,4,3,Home Win
19/09/2021,SP1,Mallorca,Villarreal,0,0,NG,No,0,0,Draw,3,1,4,Home Win,2,3,Away Win
19/09/2021,SP1,Sociedad,Sevilla,0,0,NG,No,0,0,Draw,5,6,11,Away Win,2,3,Away Win
19/09/2021,SP1,Betis,Espanol,2,2,GG,Yes,2,1,Home Win,10,4,14,Home Win,4,4,Draw
19/09/2021,SP1,Valencia,Real Madrid,1,2,GG,Yes,0,0,Draw,2,5,7,Away Win,1,5,Away Win
20/09/2021,SP1,Barcelona,Granada,1,1,GG,No,0,1,Away Win,12,4,16,Home Win,3,6,Away Win
21/09/2021,SP1,Getafe,Ath Madrid,1,2,GG,Yes,1,0,Home Win,2,5,7,Away Win,4,5,Away Win
21/09/2021,SP1,Ath Bilbao,Vallecano,1,2,GG,Yes,1,1,Draw,2,1,3,Home Win,3,3,Draw
21/09/2021,SP1,Levante,Celta,0,2,NG,No,0,0,Draw,2,4,6,Away Win,3,2,Home Win
