Round_Number,Date,Home Team,Away_Team
25,15/02/2026 14:00,Inter,Juventus
25,15/02/2026 14:00,Lazio,Atalanta
25,15/02/2026 14:00,Napoli,Roma
25,15/02/2026 14:00,Parma,Verona
25,15/02/2026 14:00,Pisa,Milan
25,15/02/2026 14:00,Torino,Bologna
25,15/02/2026 14:00,Udinese,Sassuolo
26,22/02/2026 14:00,Atalanta,Napoli
26,22/02/2026 14:00,Bologna,Udinese
26,22/02/2026 14:00,Cagliari,Lazio
26,22/02/2026 14:00,Fiorentina,Pisa
26,22/02/2026 14:00,Genoa,Torino
26,22/02/2026 14:00,Juventus,Como
26,22/02/2026 14:00,Lecce,Inter
26,22/02/2026 14:00,Milan,Parma
26,22/02/2026 14:00,Roma,Cremonese
26,22/02/2026 14:00,Sassuolo,Verona
27,01/03/2026 14:00,Cremonese,Milan
27,01/03/2026 14:00,Inter,Genoa
27,01/03/2026 14:00,Parma,Cagliari
27,01/03/2026 14:00,Pisa,Bologna
27,01/03/2026 14:00,Roma,Juventus
27,01/03/2026 14:00,Verona,Napoli
27,01/03/2026 14:00,Udinese,Fiorentina
27,01/03/2026 14:00,Torino,Lazio
27,01/03/2026 14:00,Sassuolo,Atalanta
27,01/03/2026 14:00,Como,Lecce
28,08/03/2026 14:00,Napoli,Torino
28,08/03/2026 14:00,Atalanta,Udinese
28,08/03/2026 14:00,Cagliari,Como
28,08/03/2026 14:00,Fiorentina,Parma
28,08/03/2026 14:00,Genoa,Roma
28,08/03/2026 14:00,Juventus,Pisa
28,08/03/2026 14:00,Lazio,Sassuolo
28,08/03/2026 14:00,Lecce,Cremonese
28,08/03/2026 14:00,Milan,Inter
28,08/03/2026 14:00,Bologna,Verona
29,15/03/2026 14:00,Como,Roma
29,15/03/2026 14:00,Cremonese,Fiorentina
29,15/03/2026 14:00,Inter,Atalanta
29,15/03/2026 14:00,Lazio,Milan
29,15/03/2026 14:00,Napoli,Lecce
29,15/03/2026 14:00,Pisa,Cagliari
29,15/03/2026 14:00,Sassuolo,Bologna
29,15/03/2026 14:00,Torino,Parma
29,15/03/2026 14:00,Udinese,Juventus
29,15/03/2026 14:00,Verona,Genoa
30,22/03/2026 14:00,Atalanta,Verona
30,22/03/2026 14:00,Bologna,Lazio
30,22/03/2026 14:00,Cagliari,Napoli
30,22/03/2026 14:00,Como,Pisa
30,22/03/2026 14:00,Fiorentina,Inter
30,22/03/2026 14:00,Genoa,Udinese
30,22/03/2026 14:00,Juventus,Sassuolo
30,22/03/2026 14:00,Milan,Torino
30,22/03/2026 14:00,Parma,Cremonese
30,22/03/2026 14:00,Roma,Lecce
31,04/04/2026 13:00,Cremonese,Bologna
31,04/04/2026 13:00,Inter,Roma
31,04/04/2026 13:00,Juventus,Genoa
31,04/04/2026 13:00,Lazio,Parma
31,04/04/2026 13:00,Lecce,Atalanta
31,04/04/2026 13:00,Napoli,Milan
31,04/04/2026 13:00,Pisa,Torino
31,04/04/2026 13:00,Sassuolo,Cagliari
31,04/04/2026 13:00,Udinese,Como
31,04/04/2026 13:00,Verona,Fiorentina
32,12/04/2026 13:00,Atalanta,Juventus
32,12/04/2026 13:00,Bologna,Lecce
32,12/04/2026 13:00,Cagliari,Cremonese
32,12/04/2026 13:00,Como,Inter
32,12/04/2026 13:00,Fiorentina,Lazio
32,12/04/2026 13:00,Genoa,Sassuolo
32,12/04/2026 13:00,Milan,Udinese
32,12/04/2026 13:00,Parma,Napoli
32,12/04/2026 13:00,Roma,Pisa
32,12/04/2026 13:00,Torino,Verona
33,19/04/2026 13:00,Inter,Cagliari
33,19/04/2026 13:00,Juventus,Bologna
33,19/04/2026 13:00,Lecce,Fiorentina
33,19/04/2026 13:00,Napoli,Lazio
33,19/04/2026 13:00,Pisa,Genoa
33,19/04/2026 13:00,Roma,Atalanta
33,19/04/2026 13:00,Sassuolo,Como
33,19/04/2026 13:00,Udinese,Parma
33,19/04/2026 13:00,Verona,Milan
33,19/04/2026 13:00,Cremonese,Torino
34,26/04/2026 13:00,Bologna,Roma
34,26/04/2026 13:00,Cagliari,Atalanta
34,26/04/2026 13:00,Fiorentina,Sassuolo
34,26/04/2026 13:00,Genoa,Como
34,26/04/2026 13:00,Lazio,Udinese
34,26/04/2026 13:00,Milan,Juventus
34,26/04/2026 13:00,Napoli,Cremonese
34,26/04/2026 13:00,Parma,Pisa
34,26/04/2026 13:00,Torino,Inter
34,26/04/2026 13:00,Verona,Lecce
35,03/05/2026 13:00,Atalanta,Genoa
35,03/05/2026 13:00,Bologna,Cagliari
35,03/05/2026 13:00,Como,Napoli
35,03/05/2026 13:00,Cremonese,Lazio
35,03/05/2026 13:00,Inter,Parma
35,03/05/2026 13:00,Juventus,Verona
35,03/05/2026 13:00,Pisa,Lecce
35,03/05/2026 13:00,Roma,Fiorentina
35,03/05/2026 13:00,Sassuolo,Milan
35,03/05/2026 13:00,Udinese,Torino
36,10/05/2026 13:00,Verona,Como
36,10/05/2026 13:00,Cagliari,Udinese
36,10/05/2026 13:00,Cremonese,Pisa
36,10/05/2026 13:00,Fiorentina,Genoa
36,10/05/2026 13:00,Lazio,Inter
36,10/05/2026 13:00,Lecce,Juventus
36,10/05/2026 13:00,Milan,Atalanta
36,10/05/2026 13:00,Napoli,Bologna
36,10/05/2026 13:00,Parma,Roma
36,10/05/2026 13:00,Torino,Sassuolo
37,17/05/2026 13:00,Atalanta,Bologna
37,17/05/2026 13:00,Cagliari,Torino
37,17/05/2026 13:00,Como,Parma
37,17/05/2026 13:00,Genoa,Milan
37,17/05/2026 13:00,Inter,Verona
37,17/05/2026 13:00,Juventus,Fiorentina
37,17/05/2026 13:00,Pisa,Napoli
37,17/05/2026 13:00,Roma,Lazio
37,17/05/2026 13:00,Sassuolo,Lecce
37,17/05/2026 13:00,Udinese,Cremonese
38,24/05/2026 13:00,Bologna,Inter
38,24/05/2026 13:00,Cremonese,Como
38,24/05/2026 13:00,Fiorentina,Atalanta
38,24/05/2026 13:00,Lazio,Pisa
38,24/05/2026 13:00,Lecce,Genoa
38,24/05/2026 13:00,Milan,Cagliari
38,24/05/2026 13:00,Napoli,Udinese
38,24/05/2026 13:00,Parma,Sassuolo
38,24/05/2026 13:00,Torino,Juventus
38,24/05/2026 13:00,Verona,Roma
